label,ra,dec,maxval_xindex,maxval_yindex,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,kron_flux,kron_fluxerr,r_petrosian,r_half_light,r_half_light_arcsec,r_total_flux,r_total_flux_arcsec,r20,r80,c2080,f_half_light_f435w,f_half_light_err_f435w,f_total_f435w,f_total_err_f435w,m_half_light_f435w,m_half_light_err_f435w,m_total_f435w,m_total_err_f435w,f_half_light_f606w,f_half_light_err_f606w,f_total_f606w,f_total_err_f606w,m_half_light_f606w,m_half_light_err_f606w,m_total_f606w,m_total_err_f606w,f_half_light_f814w,f_half_light_err_f814w,f_total_f814w,f_total_err_f814w,m_half_light_f814w,m_half_light_err_f814w,m_total_f814w,m_total_err_f814w,f_half_light_f105w,f_half_light_err_f105w,f_total_f105w,f_total_err_f105w,m_half_light_f105w,m_half_light_err_f105w,m_total_f105w,m_total_err_f105w,f_half_light_f125w,f_half_light_err_f125w,f_total_f125w,f_total_err_f125w,m_half_light_f125w,m_half_light_err_f125w,m_total_f125w,m_total_err_f125w,f_half_light_f140w,f_half_light_err_f140w,f_total_f140w,f_total_err_f140w,m_half_light_f140w,m_half_light_err_f140w,m_total_f140w,m_total_err_f140w,f_half_light_f160w,f_half_light_err_f160w,f_total_f160w,f_total_err_f160w,m_half_light_f160w,m_half_light_err_f160w,m_total_f160w,m_total_err_f160w
324,64.12854863789498,-24.120160790885297,1512,601,1511.4828090477206,601.3319779550493,None,1321,1655,494,723,22185.0,14.169875528003178,8.861446042973691,-22.59124631540116,0.7803266163675018,7.366304e-05,458.15674,0.0,6037.5376,nan,5438.09450451705,nan,5.801160232046409,2.400480096019204,0.14402964197283633,11.602320464092818,0.6961432695353754,1.0002000400080016,4.300860172034407,3.167342277897933,47.258466,6.874479325738059,63.053168,7.940602496032653,21.479287423721175,23.572386949241643,21.166219195135888,23.415852834949,470.34991,21.687551959591936,679.053259,26.058650367968024,19.812271874470174,23.152798206045244,19.41356494292522,22.953444740272765,764.484497,27.649312776269866,1618.612286,40.23198088585746,18.73820072938694,22.342411582848325,17.923765354907793,21.935193895608755,2649.722889,51.475459094601575,5309.186961,72.86416788106483,17.710816725207856,21.989817296840656,16.956247820659755,21.6125328445666,2822.076955,53.12322425267502,5973.044154,77.28547181715332,17.60379499295128,21.917006058354673,16.78972781087009,21.50997246731408,3469.413934,58.90173116301422,7813.573681,88.39442109658279,17.60167648042594,22.026996628407947,16.720192496767254,21.5862546365786,2265.145371,47.593543375126,5184.059021,72.00040986688896,17.558487006339256,21.752357105223005,16.65955236067114,21.302889782388945
1413,64.14299282383101,-24.10504444076416,721,1508,721.3320977731762,1507.3248031855474,None,660,788,1439,1577,11610.0,21.26420163628751,16.68347684747961,50.36439011491739,0.620027032087149,-0.00023485576,0.7716574,0.0,427.26752,nan,431.7647136609562,nan,48.93138627725545,22.759751950390076,1.3655930454251184,97.8627725545109,5.87180044394859,10.194038807761551,39.73594718943789,2.9541864360960703,15.848682,3.981040316299246,42.109395,6.489175217236779,22.66550359606338,24.165495035412746,21.60453897024072,23.635012722501415,106.920682,10.340245741760686,242.204734,15.562928194912422,21.420670236953303,23.95699738728681,20.532867969194957,23.513096253407635,120.892326,10.99510463797412,259.294991,16.102639255724508,20.74062560230565,23.343624019307683,19.912137118181857,22.929379777245785,215.249198,14.67137341900887,443.239924,21.053263974975472,20.436464013511408,23.35264094099243,19.65222068912743,22.96051927880044,245.910582,15.68153634055031,503.261798,22.43349723070391,20.253274079612318,23.24174560168519,19.475732211571493,22.85297466766478,329.47362,18.151408209833196,669.806813,25.880626209580015,20.15776515734312,23.30504096686654,19.387442874661097,22.919879825525527,223.229321,14.940860785108734,449.383201,21.198660358617005,20.074349108458918,23.010288156282837,19.314685120510937,22.630456162308846
1260,64.15374930245414,-24.122910299106458,132,436,129.76326203611234,436.23879511469073,None,53,202,380,523,10700.0,20.391485573155236,13.836662301719736,19.719089046356192,0.7345533214293424,-0.0039016414,3.987631,0.0,374.27567,nan,376.2150060957042,nan,41.183236647329466,14.357871574314862,0.8614772960500271,82.36647329465893,4.942017090192945,4.500900180036007,35.197039407881576,4.46603376529924,1.125369,1.060834105786574,3.48814,1.8676562852944865,25.537249105559653,25.601367790160882,24.30900170612391,24.98724409044301,25.771429,5.076556805552362,67.450449,8.212822231121285,22.965478286585668,24.72940141210299,21.920862425114468,24.20709348136739,68.020139,8.247432267075613,145.534887,12.063784107816254,21.36502864860025,23.65582554245498,20.539204653770348,23.242913545040032,182.55718,13.51137224711095,377.706933,19.43468376382801,20.6153205722591,23.442069220366275,19.8259304769897,23.047374172731576,249.401865,15.792462284267136,476.382242,21.826182488011963,20.23796788185424,23.23409250280615,19.535328213735575,22.882772668746817,374.619029,19.355077602531075,700.273674,26.462684557693688,20.018342191764408,23.23532948407718,19.339147276782427,22.895732026586188,282.468481,16.806798654116136,518.315268,22.766538340292314,19.81880221789031,22.88251471099853,19.159742199032397,22.552984701569574
1412,64.14388758430307,-24.107277731428653,672,1374,670.5486247713146,1374.5729120647557,None,631,720,1308,1450,7544.0,21.56228637020636,8.591327919342222,68.1356143528191,0.9171933812755578,0.0016963589,1.5022384,0.0,606.1172,nan,592.5159939066237,nan,45.591118223644735,22.260452090418084,1.3356348798947688,91.18223644728947,5.470965950338187,11.900780156031207,36.21604320864173,2.416627835604736,12.650257,3.5567199777322926,34.131469,5.842214391820964,22.910238103166694,24.2878622889644,21.83259902355976,23.749042749160935,111.637457,10.565862813798029,247.903133,15.744939917319469,21.37379969988298,23.933562118751645,20.507619499079,23.500472018349658,148.166954,12.172384893684557,306.648642,17.51138606735629,20.51974405432315,23.233183245316432,19.730019821946044,22.838321129127877,299.507527,17.3062857655824,606.245841,24.6220600478514,20.077798515403963,23.173308191938705,19.312195937847427,22.79050690316044,376.268767,19.397648491505358,750.050276,27.38704576985258,19.791471698091975,23.01084441092502,19.042491185753587,22.636354154755825,525.672065,22.92753944495571,1038.876977,32.2316145577599,19.650529529957183,23.051423153173566,18.910906471918054,22.681611624154,370.297381,19.243112560082373,726.068672,26.94566146896379,19.524850603035745,22.73553890357125,18.793782957934216,22.370005081020487
20,64.13479359015214,-24.12917767444527,1170,60,1170.5860586226602,59.88710142897118,None,1133,1224,16,103,4684.0,9.682747472085204,8.008712669429773,39.52087647053034,0.5620377350313248,0.0008816339,4.0184755,0.0,266.2326,nan,250.46903099445422,nan,16.149229845969195,6.597719543908782,0.3958654709623406,32.29845969193839,1.9379188327445127,2.7605521104220845,13.802760552110422,3.494850021680094,1.530031,1.2369442186291182,4.037552,2.009366069186996,25.203735899364275,25.434611187063194,24.150191153028683,24.9078388138954,26.860913,5.1827514893153035,54.117139,7.3564352100728785,22.920522612086113,24.706923574853214,22.15998746568865,24.326656001654484,58.429327,7.643907835655791,111.263228,10.548138603564137,21.53004522617625,23.73833383124298,20.830743297157227,23.38868286673347,126.607978,11.252021062902433,255.321299,15.978776517618613,21.0126651861775,23.640741527325474,20.25110025515712,23.259959061815287,156.76092,12.520420120746747,317.681208,17.823613774989628,20.742122614745085,23.486169869251576,19.97523831003992,23.102727716898993,222.102414,14.903100818286106,450.972929,21.236123210228367,20.58593357924004,23.519125177815,19.8169405943047,23.134628685347327,161.724346,12.717088739172972,331.96557,18.219922337924494,20.424288695194786,23.18525794965077,19.643494596762345,22.79486090043455
630,64.127672762772,-24.11322743830116,1560,1017,1560.5689398074119,1017.1932226820308,None,1522,1603,977,1059,4495.0,8.642198165649308,6.54487657279266,-48.79667407771557,0.6530483833799561,0.00035090267,6.275133,0.0,386.82208,nan,360.04917773221405,nan,14.75895179035807,6.176435287057411,0.3705882687961078,29.51790358071614,1.7710844974593103,2.70374074814963,12.278455691138227,3.2858935049647253,4.21931,2.054095908179557,8.474063,2.9110243901417245,24.102382887460838,24.883934681111477,23.345257253717854,24.505371864239983,59.472982,7.71187279459406,116.352622,10.786687257911948,22.05752525074336,24.27542489418184,21.328884101281513,23.911104319450914,93.758853,9.68291552168044,179.914076,13.413205284345722,21.016591721909705,23.481607079109708,20.308959579502485,23.127791007906097,184.788968,13.593710604540616,371.324529,19.26978279586981,20.602127768359257,23.435472818416354,19.84443377134741,23.056625819910433,226.242526,15.041360510272998,454.473408,21.318381927341484,20.343781521143107,23.286999322450583,19.586445931247724,22.90833152750289,315.659742,17.76681575297048,635.835765,25.215784044919168,20.204268783348624,23.32829277986929,19.443954394364688,22.94813558537732,221.778585,14.892232371273288,448.981398,21.18918115454205,20.081428183493433,23.013827693800096,19.315656334411962,22.63094176925936
1320,64.12407514049445,-24.116260465107967,1757,835,1757.87369409061,833.3105097939293,None,1723,1796,789,869,4026.0,13.613743959884262,9.733241201189166,-59.0715359352197,0.6991684516425204,0.0016279076,1.5280505,0.0,131.30902,nan,136.0240641717646,nan,35.79895979195839,12.925385077015402,0.7755276072027371,71.59791958391678,4.295900116302802,4.332666533306662,27.59351870374075,4.020259101782897,1.472062,1.2132856217725487,0.869554,0.9324987935649033,25.24567121998458,25.455578847373346,25.81724508173352,25.74136577824782,11.451967,3.3840755015217967,25.267051,5.026634162140706,23.84612431790048,25.169724427760396,22.986938145242725,24.74013134143152,28.814632,5.367926229001289,63.034724,7.939441038259558,22.297589742678856,24.122106089494284,21.447672797313146,23.697147616811428,66.753357,8.170272761664693,143.196417,11.96647053228311,21.707635090763347,23.9882264796184,20.878987490034717,23.573902679254083,88.069386,9.384529077156722,179.184197,13.385970155352956,21.36815470238286,23.799185913070463,20.59696786181464,23.41359249278635,124.880549,11.174996599552056,246.117087,15.688119294548981,21.21107977812892,23.831698277259438,20.474462360863065,23.463389568626507,89.071152,9.437751427114405,178.78051,13.370882917743316,21.071884530878737,23.509055867492748,20.31542677451202,23.130826989309387
1432,64.13349814670056,-24.105211106531375,1241,1498,1240.8368958697417,1497.7355314013248,None,1214,1276,1448,1541,3882.0,13.126881467713606,7.048259310611463,81.70968336360073,0.843624721172293,0.0015757878,1.8956729,0.0,144.31155,nan,140.63133013795448,nan,25.469693938787756,10.238647729545908,0.61432243042464,50.93938787757551,3.0563810174845725,3.9205841168233646,22.846569313862773,3.827351093122773,0.726187,0.8521660636284456,2.458231,1.5678746761141338,26.01286529969696,25.839175887229533,24.688929746946297,25.177208110854203,10.058351,3.1714903436712527,23.65677,4.863822570777022,23.98700757048794,25.240166054054125,23.058435918815363,24.775880228217837,27.149828,5.210549683094865,56.999862,7.549825295991955,22.36220472984815,24.15441358307893,21.556937925756163,23.751780181032938,71.153787,8.435270416530818,145.041894,12.04333400682718,21.6383228200216,23.953570344247524,20.86508421279739,23.566951040635423,96.303717,9.813445725126318,192.309233,13.867560455970617,21.27110949936739,23.750663311562725,20.52021678439573,23.375216954076894,142.074187,11.919487698722625,278.923788,16.701011586128548,21.0710288275564,23.761672801973177,20.338602889823218,23.395459833106585,109.320484,10.455643643506601,210.084789,14.49430194938687,20.849473339610817,23.397850271858786,20.140240681998478,23.043233943052616
1244,64.15042584245441,-24.12457725596135,314,336,315.73393254600893,334.79159632859404,None,272,362,301,371,3777.0,13.043740852675088,9.723245604481862,13.820169427417662,0.6665796397744553,0.0014256815,0.67744493,0.0,145.40271,nan,158.5509904823266,nan,33.4626925385077,12.541708341668333,0.7525068694274121,66.9253850770154,4.0155464182026765,5.65873174634927,24.947389477895577,3.2215300035362975,5.749373,2.3977850195545054,15.837029,3.979576485004403,23.76643526194571,24.71596086835391,22.66630219481122,24.165894334786664,29.990493,5.476357639891683,67.785392,8.23318844676836,22.800865525153828,24.64709503138707,21.91548425786928,24.204404397744796,39.16269,6.258010067105997,83.407182,9.132753254084992,21.96444114906208,23.955531792685896,21.143613815450504,23.54511812588011,72.708392,8.52692160160981,155.725427,12.478999439057604,21.61485651845948,23.941837193466466,20.78791904250912,23.528368455491286,79.49708,8.916113503090907,156.985609,12.529389809563753,21.47933918146207,23.854778152610066,20.74056751850486,23.48539232113146,109.065265,10.443431667799622,215.239503,14.671043009956723,21.358100629083555,23.905208702736754,20.620011824976284,23.53616430068312,77.252443,8.789336891939005,150.810733,12.280502147713667,21.226446648439232,23.586336926272992,20.500146577115842,23.2231868906113
1306,64.15150266872044,-24.117793871309896,255,743,254.8759397343777,743.4276435856683,None,219,292,708,779,3757.0,7.919468604797805,7.596172279768916,34.961116686322995,0.28280637955393995,0.0015957895,6.124705,0.0,391.6479,nan,371.9252989725319,nan,17.918983796759353,6.461492298459691,0.3876917887803821,35.837967593518705,2.1502905398334597,2.5979195839167835,13.98879775955191,3.6557734385371,4.06314,2.015723195282527,8.767707,2.9610314081414266,24.143332008055136,24.904409241408622,23.30827140453266,24.486878939647386,60.507872,7.778680607918029,117.424101,10.836240168988503,22.038794838850166,24.266059688235238,21.318931427856672,23.906127982738493,102.476604,10.123072853634907,194.347909,13.940871888085049,20.92006062437881,23.43334153034426,20.225172755325083,23.0858975958174,194.057376,13.93044780328328,391.786726,19.793603158596465,20.548992481842127,23.40890517515779,19.786193574182512,23.027505721327984,230.504218,15.182365362485518,471.101492,21.704872540514952,20.323519931359687,23.276868527558875,19.547430924580752,22.888824024169406,320.536676,17.9035380860879,659.690428,25.684439413777362,20.187622454052963,23.319969615221456,19.40396631992893,22.92814154815944,226.902067,15.063268801956632,469.717524,21.672967586373584,20.05663107366496,23.001429138885857,19.26663529675842,22.606431250432586
