Values,Sersic,Uncorrected,Corrected
eta,0.2,0.2 (1.0),0.2 (1.0)
epsilon,10.21,2.0 (0.2),9.37 (0.92)
r\_petrosian,92.77,92.77 (1.0),92.77 (1.0)
r\_half\_light,50.0,36.76 (0.74),49.01 (0.98)
r\_total\_flux,947.18,185.54 (0.2),868.95 (0.92)
total\_flux,56663.08,47160.67 (0.83),55967.71 (0.99)
r\_20,13.81,11.5 (0.83),13.75 (1.0)
r\_80,152.71,91.27 (0.6),151.53 (0.99)
c2080,5.22,4.5 (0.86),5.21 (1.0)
