sersic_n,sersic_r_eff,sersic_amplitude,sersic_total_flux_99,sersic_r_99,sersic_r_20,sersic_r_80,sersic_c2080,sersic_petro_0205,corr_eta,corr_epsilon,corr_r_petrosian,corr_r_half_light,corr_r_total_flux,corr_total_flux,corr_r_20,corr_r_80,corr_c2080,uncorr_eta,uncorr_epsilon,uncorr_r_petrosian,uncorr_r_half_light,uncorr_r_total_flux,uncorr_total_flux,uncorr_r_20,uncorr_r_80,uncorr_c2080
0.2,50,1,17438.474698863196,91.63822310693398,30.88994167338108,66.8579827657041,1.676680903439508,-0.7958582437919515,0.2,1.0794390566496688,84.8943,49.72220000000001,91.63822310693398,17264.089951870064,30.8899,66.858,1.6766843927086539,0.2,2,84.8943,50.00000000000001,169.7886,17438.474698863196,31.047,67.39670000000001,1.6830949533623558
0.21000000000000002,50,1,17612.13423326376,92.84891346191357,30.814138624392225,67.14956531076778,1.691465868113927,-0.8336674250840072,0.2,1.0862126411819626,85.4795,49.719500000000004,92.84891346191357,17436.0128909284,30.8141,67.1496,1.6914697117514443,0.2,2,85.4795,50.00000000000001,170.959,17612.13423326376,30.9712,67.70200000000001,1.698217328753108
0.22000000000000003,50,1,17787.679337895373,94.06154469555015,30.73559980036752,67.44117909746507,1.706417309380256,-0.8713214858967393,0.2,1.093084312249643,86.0515,49.7167,94.06154469555015,17609.802544511065,30.7356,67.44120000000001,1.706417968296333,0.2,2,86.0515,50.00000000000001,172.103,17787.679337895373,30.8926,68.00720000000001,1.7135021661137295
0.23000000000000004,50,1,17964.671384867328,95.27603264141473,30.654656987925723,67.73257955282403,1.7215057741369377,-0.9088283029316389,0.2,1.1000479459999761,86.6108,49.7139,95.27603264141473,17785.024671014227,30.654700000000002,67.7326,1.721503382835015,0.2,2,86.6108,50.00000000000001,173.2216,17964.671384867328,30.811600000000002,68.31230000000001,1.728923283186767
0.24000000000000005,50,1,18142.739258968177,96.49232980708376,30.571613887392424,68.02357030137736,1.7367052838650463,-0.9461911148109807,0.2,1.1071017307393016,87.1576,49.71110000000001,96.49232980708376,17961.311866374566,30.5716,68.0236,1.7367072183231356,0.2,2,87.1576,50.00000000000001,174.3152,18142.739258968177,30.7285,68.61680000000001,1.7444454983168205
0.25000000000000006,50,1,18321.568667379608,97.71041704871264,30.48674702166199,68.31399385678677,1.7519929466186919,-0.9834086816574705,0.2,1.1142404250392581,87.6924,49.70830000000001,97.71041704871264,18138.35298070333,30.486700000000003,68.31400000000001,1.7519964910943167,0.2,2,87.6924,50.00000000000001,175.3848,18321.568667379604,30.643600000000003,68.9208,1.7600526257996465
0.26000000000000006,50,1,18500.893190373583,98.93029711712362,30.400307141002138,68.6037242447284,1.7673486059924584,-1.020483626040479,0.2,1.1214641577722189,88.2153,49.70550000000001,98.93029711712362,18315.88425846939,30.4003,68.6037,1.7673483486653063,0.2,2,88.2153,50.00000000000001,176.4306,18500.89319037353,30.5572,69.224,1.775715670027854
0.2700000000000001,50,1,18680.48680268622,100.1519896338712,30.312520905252917,68.89266112520717,1.7827545258057174,-1.057425310770261,0.2,1.1287669199968802,88.7269,49.70270000000001,100.15198963387118,18493.681934657925,30.3125,68.8927,1.7827572486975762,0.2,2,88.7269,50.00000000000001,177.4538,18680.4868026853,30.4694,69.52640000000001,1.7914292022584042
0.2800000000000001,50,1,18860.15762592694,101.37552716573907,30.223592692744838,69.18072508532416,1.7981951084713177,-1.0942402933013797,0.2,1.136147945202248,89.2274,49.6998,101.37552716573907,18671.556049664803,30.2236,69.1807,1.7981937960791348,0.2,2,89.2274,50.00000000000001,178.4548,18860.157625916738,30.3805,69.8279,1.8071703205997582
0.2900000000000001,50,1,19039.742705968514,102.60095214736818,30.13370643452733,69.46785385068219,1.8136566445627094,-1.1309135341046062,0.2,1.1436065867936753,89.717,49.697,102.60095214736816,18849.34527890542,30.1337,69.4679,1.8136585508084218,0.2,2,89.717,50.00000000000001,179.434,19039.74270588785,30.2907,70.12840000000001,1.8229231036040052
0.3000000000000001,50,1,19219.103641371123,103.828314462001,30.043027407788355,69.75399922169012,1.829127090880902,-1.1674668451099555,0.2,1.1511384566312217,90.1962,49.6942,103.828314462001,19026.912604955818,30.043000000000003,69.754,1.8291290961115612,0.2,2,90.1962,50.00000000000001,180.3924,19219.10364088653,30.200000000000003,70.42790000000001,1.8386889797664878
0.3100000000000001,50,1,19398.12291764346,105.05766953531001,29.951703947298363,70.03912458491742,1.8445958742815227,-1.20389751744671,0.2,1.1587430407180486,90.6652,49.691300000000005,105.05766953531001,19204.141688464442,29.951700000000002,70.0391,1.8445953982335506,0.2,2,90.6652,50.00000000000001,181.3304,19398.122915321448,30.108800000000002,70.72630000000001,1.8544374599666014
0.3200000000000001,50,1,19576.700826965964,106.28907683101616,29.85986905111288,70.323202882975,1.8600537185961614,-1.2402006501474445,0.2,1.1664185824309887,91.1243,49.688500000000005,106.28907683101615,19380.933818694248,29.8599,70.3232,1.8600513789073987,0.2,2,91.1243,50.00000000000001,182.2486,19576.700817746238,30.017,71.0236,1.8701769827384962
0.3300000000000001,50,1,19754.752873968875,107.52259866244,29.767641868708832,70.60621495182731,1.875492492128389,-1.2763862098257208,0.2,1.1741646199994102,91.5737,49.685700000000004,107.52259866243999,19557.20534522904,29.7676,70.6062,1.8754950865055577,0.2,2,91.5737,50.00000000000001,183.1474,19754.752842697253,29.9248,71.3199,1.885897345246047
