sersic_n,sersic_r_eff,sersic_amplitude,sersic_total_flux_99,sersic_r_99,sersic_r_20,sersic_r_80,sersic_c2080,corr_eta,corr_epsilon,corr_r_petrosian,corr_r_half_light,corr_r_total_flux,corr_total_flux,corr_r_20,corr_r_80,corr_c2080,uncorr_eta,uncorr_epsilon,uncorr_r_petrosian,uncorr_r_half_light,uncorr_r_total_flux,uncorr_total_flux,uncorr_r_20,uncorr_r_80,uncorr_c2080
0.05,50,1,15716.439267926888,74.1911342106297,31.463416981643544,63.10308651247255,1.5112235804570961,0.2,1.001188178553701,74.10308651247254,49.7492910781722,74.19113421062971,15557.762842558774,31.463448569973632,63.10309355225956,1.5112216426144829,0.2,2,74.10308651247254,49.99989228708323,148.2061730249451,15716.439267926888,31.62199702131489,63.44077808966848,1.5118960373018242
0.1,50,1,15982.109835445623,79.71932279635051,31.41064769740394,64.07011469049148,1.5478930481712825,0.2,1.0211247045351133,78.07011469049148,49.74522772678531,79.71932279635053,15820.567263289693,31.410678531645885,64.07011801887542,1.5478910293538515,0.2,2,78.07011469049148,50.00005137791461,156.14022938098296,15982.109835445623,31.56897428352503,64.47048373571351,1.550502287451864
0.15000000000000002,50,1,16620.340297201645,85.6210726588484,31.21445623081328,65.41427255890703,1.6065837121779691,0.2,1.0516715308964721,81.41427255890703,49.73514018416078,85.6210726588484,16453.495663405367,31.21432537904045,65.41436703400105,1.6065959512275019,0.2,2,81.41427255890703,50.00013006029109,162.82854511781406,16620.340297201645,31.37200094712595,65.88370233699803,1.6111788846393065
0.2,50,1,17438.474698863196,91.63822310693398,30.88994167338108,66.8579827657041,1.676680903439508,0.2,1.0799010313496418,84.8579827657041,49.722132538725766,91.63822310693398,17263.647306753246,30.890038050302035,66.85801832134152,1.6766752832418437,0.2,2,84.8579827657041,50.000099088544545,169.7159655314082,17438.474698863196,31.047125359017258,67.39668295796429,1.6830856365057623
0.25,50,1,18321.568667379608,97.71041704871257,30.486747021661987,68.3139938567868,1.7519929466186928,0.2,1.1190693808941792,87.3139938567868,49.70846463874053,97.71041704871256,18137.935918164247,30.486861712220918,68.31410341519643,1.751988260087467,0.2,2,87.3139938567868,49.999994063091215,174.6279877135736,18321.568667379604,30.64359485818371,68.92083098943912,1.7600539665371957
0.3,50,1,19219.103641371123,103.828314462001,30.043027407788347,69.75399922169011,1.829127090880902,0.2,1.15680989551839,89.75399922169011,49.69429974529315,103.828314462001,19026.825954986416,30.043177160512577,69.75392389026226,1.829113921866989,0.2,2,89.75399922169011,50.00014910796931,179.50799844338022,19219.103640653342,30.200015268735296,70.42793641293146,1.8386890046015583
0.35000000000000003,50,1,20109.004657818732,109.99624399681555,29.582426081030395,71.16899525075918,1.9062852329624136,0.2,1.19341915030705,92.16899525075918,49.68000326506151,109.99624399681554,19907.771404515264,29.582462378182697,71.16896960393822,1.9062817860799877,0.2,2,92.16899525075918,49.999956711242845,184.33799050151836,20109.004371274383,29.73964880959155,71.9090169644371,1.9172375802187611
0.4,50,1,20981.616917872227,116.2219365612764,29.118745841321154,72.55695849113147,1.9825320175675176,0.2,1.2291209279132735,94.55695849113147,49.66618400755183,116.2219365612764,20771.626189067032,29.118832174231397,72.55699766259515,1.982526751789063,0.2,2,94.55695849113147,50.00008775891761,189.11391698226294,20981.607688644704,29.276742168832815,73.36237092749482,1.994753051952337
0.45,50,1,21832.969431082478,122.51347446792278,28.65986559716896,73.91852243441053,2.0573956386604193,0.2,1.2772660728974217,95.91852243441053,49.652873479414886,122.51347446792278,21614.487885373263,28.6597265218095,73.91866384629722,2.0574103302023126,0.2,2,95.91852243441053,49.999773007206926,191.83704486882107,21832.855597544476,28.818357276751296,74.78793343972563,2.0708115580399813
0.5,50,1,22661.80070913597,128.87839413352714,28.210186910368325,75.25530822674561,2.130655876032697,0.2,1.3116685139912447,98.25530822674561,49.63985607925459,128.87839413352714,22435.0610058646,28.210218395456934,75.2553114404012,2.1306535452060595,0.2,2,98.25530822674561,49.99926011372719,196.51061645349122,22661.292697594174,28.368920751675198,76.18721443016875,2.145196405073941
0.55,50,1,23468.168448210647,135.323481274742,27.772067366662046,76.5692391436566,2.202230607734829,0.2,1.3590892371839847,99.5692391436566,49.62705475194179,135.323481274742,23233.40633224117,27.77203248850558,76.56912655984385,2.2022301419941392,0.2,2,99.5692391436566,49.99715189576669,199.1384782873132,23466.34471536247,27.930645550144824,77.55902924858786,2.2177569559398775
0.6000000000000001,50,1,24252.767686668434,141.8547917594301,27.34665391382018,77.86225192798642,2.2721138287921248,0.2,1.4064210251890024,100.86225192798642,49.614842688693976,141.8547917594301,24010.237278745324,27.34680856857148,77.86229729151867,2.2721028135290116,0.2,2,100.86225192798642,49.99224200910121,201.72450385597284,24247.987307676216,27.504181136749107,78.90198819275776,2.2884461364390303
0.6500000000000001,50,1,25016.584303882682,148.47773881376295,26.93437225879861,79.13617815870592,2.3403410710711583,0.2,1.4537232691735191,102.13617815870592,49.60255824919699,148.47773881376295,24766.349061492874,26.9342931121554,79.13616608959936,2.3403471207788282,0.2,2,102.13617815870592,49.983840837717516,204.27235631741183,25006.428592174507,27.08921266488761,80.21383462875107,2.357264478325395
0.7000000000000001,50,1,25760.715017980936,155.19719097437047,26.535218652959653,80.39270123936745,2.4069697541561226,0.2,1.5010459066648132,103.39270123936745,49.59107321338394,155.19719097437047,25503.065557100348,26.535187251307384,80.39256947208723,2.40696876472323,0.2,2,103.39270123936745,49.97047386845609,206.7854024787349,25742.098866813387,26.685390997828254,81.49263680735795,2.424223998532247
