sersic_n,sersic_r_eff,sersic_amplitude,sersic_total_flux_99,sersic_r_99,sersic_r_20,sersic_r_80,sersic_r_50,sersic_r_90,sersic_c2080,sersic_c5090,sersic_petro_0502,corr_eta,corr_epsilon,corr_r_petrosian,corr_r_half_light,corr_r_total_flux,corr_total_flux,corr_r_20,corr_r_80,corr_r_50,corr_r_90,corr_c2080,corr_c5090,uncorr_eta,uncorr_epsilon,uncorr_r_petrosian,uncorr_r_half_light,uncorr_r_total_flux,uncorr_total_flux,uncorr_r_20,uncorr_r_80,uncorr_r_50,uncorr_r_90,uncorr_c2080,uncorr_c5090
0.2,50,1,17438.474698863196,91.63822310693398,30.88994167338108,66.8579827657041,49.72224074712318,74.51532931805866,1.676680903439508,0.878474665631763,0.34563684365605746,0.2,1.0794390566496688,84.8943,49.72220000000001,91.63822310693398,17264.089951870064,30.8899,66.858,49.72220000000001,74.51530000000001,1.6766843927086539,0.8784755907770216,0.2,2,84.8943,50.00000000000001,169.7886,17438.474698863196,31.047,67.39670000000001,50.00000000000001,75.37950000000001,1.6830949533623558,0.8914162403350951
0.21,50,1,17612.13423326376,92.84891346191357,30.814138624392225,67.14956531076778,49.71950466392993,75.02858146967478,1.691465868113927,0.8934997112034184,0.36205716245647673,0.2,1.0862126411819626,85.4795,49.719500000000004,92.84891346191357,17436.0128909284,30.8141,67.1496,49.719500000000004,75.02860000000001,1.6914697117514443,0.8935004512014612,0.2,2,85.4795,50.00000000000001,170.959,17612.13423326376,30.9712,67.70200000000001,50.00000000000001,75.9214,1.698217328753108,0.9069710180049122
0.22,50,1,17787.679337895373,94.06154469555015,30.73559980036752,67.44117909746507,49.716738096449674,75.54129218053559,1.706417309380256,0.9084089124291672,0.3784101132886959,0.2,1.093084312249643,86.0515,49.7167,94.06154469555015,17609.80254451107,30.7356,67.44120000000001,49.7167,75.5413,1.706417968296333,0.9084108011385993,0.2,2,86.0515,50.00000000000001,172.103,17787.679337895373,30.8926,68.00720000000001,50.00000000000001,76.46270000000001,1.7135021661137295,0.9223981256780566
0.23,50,1,17964.671384867328,95.27603264141472,30.654656987925726,67.73257955282403,49.71394805105661,76.05323926113142,1.7215057741369375,0.9231973105073756,0.3946991169607076,0.2,1.100047945999976,86.6108,49.7139,95.27603264141472,17785.024671014227,30.654700000000002,67.7326,49.7139,76.0532,1.721503382835015,0.9231982883625199,0.2,2,86.6108,50.00000000000001,173.2216,17964.671384867328,30.811600000000002,68.31230000000001,50.00000000000001,77.0031,1.728923283186767,0.9376910253377386
0.24,50,1,18142.739258968177,96.49232980708382,30.571613887392413,68.02357030137735,49.711140460895685,76.56425090064108,1.7367052838650465,0.9378615551960385,0.4109255799882954,0.2,1.1071017307393023,87.1576,49.71110000000001,96.49232980708382,17961.311866374566,30.5716,68.0236,49.71110000000001,76.5643,1.7367072183231356,0.9378647151298426,0.2,2,87.1576,50.00000000000001,174.3152,18142.739258968177,30.7285,68.61680000000001,50.00000000000001,77.54270000000001,1.7444454983168205,0.9528545726306142
0.25,50,1,18321.568667379608,97.71041704871257,30.486747021661987,68.3139938567868,49.70832035485226,77.07419542655056,1.7519929466186928,0.9523995563873201,0.4270889638995909,0.2,1.1142404250392572,87.6924,49.70830000000001,97.71041704871257,18138.352980703334,30.486700000000003,68.31400000000001,49.70830000000001,77.0742,1.7519964910943167,0.9524005744260727,0.2,2,87.6924,50.00000000000001,175.3848,18321.568667379608,30.643600000000003,68.9208,50.00000000000001,78.0811,1.7600526257996465,0.9678795933500839
0.26,50,1,18500.89319037358,98.93029711712362,30.400307141002124,68.60372424472837,49.70549199924598,77.58297326362356,1.7673486059924584,0.9668102120570838,0.4431904076620016,0.2,1.1214641577722189,88.2153,49.70550000000001,98.93029711712362,18315.884258469385,30.4003,68.6037,49.70550000000001,77.58300000000001,1.7673483486653063,0.9668106108552064,0.2,2,88.2153,50.00000000000001,176.4306,18500.893190373525,30.5572,69.224,50.00000000000001,78.61840000000001,1.775715670027854,0.9827709835345964
0.27,50,1,18680.486802686217,100.15198963387118,30.312520905252917,68.89266112520717,49.70265901641014,78.09051058451799,1.7827545258057174,0.981093194842805,0.45923397749235545,0.2,1.1287669199968802,88.7269,49.70270000000001,100.15198963387118,18493.68193465792,30.3125,68.8927,49.70270000000001,78.0905,1.7827572486975762,0.9810911099758056,0.2,2,88.7269,50.00000000000001,177.4538,18680.486802685296,30.4694,69.52640000000001,50.00000000000001,79.15440000000001,1.7914292022584042,0.9975252845207736
0.28,50,1,18860.157625926942,101.37552716573911,30.223592692744845,69.18072508532418,49.69982448387364,78.59675426960192,1.7981951084713184,0.9952487838830316,0.47522252125698483,0.2,1.1361479452022485,89.2274,49.6998,101.37552716573911,18671.556049664803,30.2236,69.1807,49.6998,78.5968,1.7981937960791348,0.995251117066449,0.2,2,89.2274,50.00000000000001,178.4548,18860.15762591674,30.3805,69.8279,50.00000000000001,79.68900000000001,1.8071703205997582,1.0121418632802204
0.29,50,1,19039.742705968514,102.60095214736825,30.133706434527337,69.4678538506822,49.69699101736035,79.10166788610756,1.8136566445627094,1.0092777317925472,0.4911495073713357,0.2,1.1436065867936762,89.717,49.697,102.60095214736825,18849.345278905424,30.1337,69.4679,49.697,79.10170000000001,1.8136585508084218,1.0092782208825481,0.2,2,89.717,50.00000000000001,179.434,19039.74270588785,30.2907,70.12840000000001,50.00000000000001,80.22240000000001,1.8229231036040052,1.0266282310933683
0.3,50,1,19219.103641371123,103.828314462001,30.043027407788347,69.75399922169011,49.69416084032883,79.60522846555806,1.829127090880902,1.0231811590577404,0.507024408636252,0.2,1.1511384566312217,90.1962,49.6942,103.828314462001,19026.912604955818,30.043000000000003,69.754,49.6942,79.60520000000001,1.8291290961115612,1.0231786714247884,0.2,2,90.1962,50.00000000000001,180.3924,19219.10364088653,30.200000000000003,70.42790000000001,50.00000000000001,80.7544,1.8386889797664878,1.0409809518285316
0.31,50,1,19398.122917643457,105.05766953530993,29.95170394729837,70.03912458491742,49.691335842332755,80.10742390984937,1.8445958742815223,1.0369604699397421,0.5228460486041298,0.2,1.1587430407180477,90.6652,49.691300000000005,105.05766953530994,19204.141688464442,29.951700000000002,70.0391,49.691300000000005,80.10740000000001,1.8445953982335506,1.0369613880976178,0.2,2,90.6652,50.00000000000001,181.3304,19398.122915321448,30.108800000000002,70.72630000000001,50.00000000000001,81.28500000000001,1.8544374599666014,1.0552020286602666
0.32,50,1,19576.70082696596,106.28907683101605,29.85986905111287,70.32320288297498,49.68851762809811,80.60825089505279,1.8600537185961619,1.0506172853286888,0.5386122988118601,0.2,1.1664185824309876,91.1243,49.688500000000005,106.28907683101605,19380.933818694248,29.8599,70.3232,49.688500000000005,80.60830000000001,1.8600513789073987,1.050619378524089,0.2,2,91.1243,50.00000000000001,182.2486,19576.700817746238,30.017,71.0236,50.00000000000001,81.8143,1.8701769827384962,1.0692960729792664
0.33,50,1,19754.752873968882,107.52259866244019,29.76764186870884,70.60621495182731,49.68570755888374,81.10771317128234,1.8754924921283889,1.0641533890184964,0.554327487704717,0.2,1.1741646199994122,91.5737,49.685700000000004,107.52259866244017,19557.20534522905,29.7676,70.6062,49.685700000000004,81.10770000000001,1.8754950865055577,1.0641533667424221,0.2,2,91.5737,50.00000000000001,183.1474,19754.75284269726,29.9248,71.3199,50.00000000000001,82.3422,1.885897345246047,1.0832623093037272
0.34,50,1,19932.2075856326,108.75829925343035,29.67512906776204,70.88814815394669,49.682906787421096,81.6058201792541,1.8909050733917296,1.0775706846517428,0.5699943084624344,0.2,1.181978129948229,92.0138,49.682900000000004,108.75829925343037,19732.8855097762,29.6751,70.88810000000001,49.682900000000004,81.6058,1.8909057253509018,1.0775704443515028,0.2,2,92.0138,50.00000000000001,184.0276,19932.207492794507,29.8324,71.61500000000001,50.00000000000001,82.86880000000001,1.901579013711997,1.0971052282792295
0.35,50,1,20109.00465781873,109.99624399681554,29.582426081030388,71.16899525075917,49.68011628750057,82.10258592122925,1.9062852329624136,1.0908711611814343,0.585608046428013,0.2,1.189859927035466,92.4447,49.6801,109.99624399681554,19907.91461123811,29.5824,71.16900000000001,49.6801,82.10260000000001,1.906287292325175,1.0908722454525706,0.2,2,92.4447,50.00000000000001,184.8894,20109.004411732254,29.739800000000002,71.909,50.00000000000001,83.394,1.917226028633094,1.110824004852212
