sersic_n,sersic_r_eff,sersic_amplitude,sersic_total_flux_99,sersic_r_99,sersic_r_20,sersic_r_80,sersic_c2080,corr_eta,corr_epsilon,corr_r_petrosian,corr_r_half_light,corr_r_total_flux,corr_total_flux,corr_r_20,corr_r_80,corr_c2080,uncorr_eta,uncorr_epsilon,uncorr_r_petrosian,uncorr_r_half_light,uncorr_r_total_flux,uncorr_total_flux,uncorr_r_20,uncorr_r_80,uncorr_c2080
0.5,50,1,22661.80070913597,128.87839413352714,28.210186910368325,75.25530822674561,2.130655876032697,0.2,1.305894879504082,98.76975395079015,49.75995199039808,128.98291593421493,22436.449406785072,28.255651130226045,75.26505301060212,2.127440260552118,0.2,2.0,98.76975395079015,50.01000200040008,197.5395079015803,22660.97643344944,28.255651130226045,76.26525305061011,2.15610697931683
1.0,50,1,29871.236853659997,197.76458942879003,24.39461142123563,87.64198561276176,2.7770915183788345,0.2,1.7988142587501468,108.77175435087017,49.50990198039608,195.66018267561358,29553.21466342129,24.504900980196037,87.51750350070013,2.7642098432889037,0.2,2.0,108.77175435087017,49.75995199039808,217.54350870174034,29703.67921675737,24.504900980196037,88.26765353070614,2.7827431484766385
4.0,50,1,56663.084308954356,947.184349086631,13.813496152264381,152.707131295596,5.21777853833327,0.2,9.366887465893416,92.76855371074214,49.009801960392075,868.9526029822107,55967.70544962648,13.752750550110022,151.53030606121223,5.210549673360212,0.2,2.0,92.76855371074214,36.757351470294054,185.53710742148428,47160.66716508691,11.502300460092018,91.26825365073014,4.497675163874503
