sersic_n,sersic_r_eff,sersic_amplitude,sersic_total_flux_99,sersic_r_99,sersic_r_20,sersic_r_80,sersic_r_50,sersic_r_90,sersic_c2080,sersic_c5090,sersic_petro_0502,corr_eta,corr_epsilon,corr_r_petrosian,corr_r_half_light,corr_r_total_flux,corr_total_flux,corr_r_20,corr_r_80,corr_r_50,corr_r_90,corr_c2080,corr_c5090,uncorr_eta,uncorr_epsilon,uncorr_r_petrosian,uncorr_r_half_light,uncorr_r_total_flux,uncorr_total_flux,uncorr_r_20,uncorr_r_80,uncorr_r_50,uncorr_r_90,uncorr_c2080,uncorr_c5090
0.12,50,1,16204.194650617592,82.05739947551315,31.35043785618204,64.58502813932263,49.74164563088789,70.44822590703697,1.5694412117311107,0.7557495579677559,0.2116579128254478,0.2,1.0294983260463195,79.7062,49.74164563088789,82.05739947551315,16042.152704111415,31.35043785618204,64.58502813932263,49.74164563088789,70.44822590703697,1.5694412117311107,0.7557495579677559,0.2,2,79.7062,49.74164563088789,159.4124,16042.152704111415,31.35043785618204,64.58502813932263,49.74164563088789,70.44822590703697,1.5694412117311107,0.7557495579677559
0.13,50,1,16333.637773276883,83.23942078074488,31.310950037249352,64.8557908657461,49.739616515980835,70.94494500337454,1.581262571990409,0.7710951188388581,0.2286779291401143,0.2,1.0352453598416138,80.4055,49.739616515980835,83.23942078074488,16170.301395544115,31.310950037249352,64.8557908657461,49.739616515980835,70.94494500337454,1.581262571990409,0.7710951188388581,0.2,2,80.4055,49.739616515980835,160.811,16170.301395544115,31.310950037249352,64.8557908657461,49.739616515980835,70.94494500337454,1.581262571990409,0.7710951188388581
0.14,50,1,16472.887100168995,84.427723702432,31.265505123609106,65.13270644960996,49.737431276313124,71.44750649385631,1.5936683760697106,0.7865186225435438,0.24561789998398656,0.2,1.0411568794594668,81.0903,49.737431276313124,84.427723702432,16308.158229167304,31.265505123609106,65.13270644960996,49.737431276313124,71.44750649385631,1.5936683760697106,0.7865186225435438,0.2,2,81.0903,49.737431276313124,162.1806,16308.158229167304,31.265505123609106,65.13270644960996,49.737431276313124,71.44750649385631,1.5936683760697106,0.7865186225435438
0.15,50,1,16620.340297201645,85.6210726588484,31.214456230813287,65.41427255890703,49.735115197343596,71.95426948061639,1.6065837121779682,0.801967200738708,0.2624751338403827,0.2,1.0472193465155308,81.7604,49.735115197343596,85.6210726588484,16454.13689422963,31.214456230813287,65.41427255890703,49.735115197343596,71.95426948061639,1.6065837121779682,0.801967200738708,0.2,2,81.7604,49.735115197343596,163.5208,16454.13689422963,31.214456230813287,65.41427255890703,49.735115197343596,71.95426948061639,1.6065837121779682,0.801967200738708
0.16,50,1,16774.606132480552,86.81854170525153,31.158211313666595,65.6993040432408,49.73269028994237,72.46396428364147,1.619941253603106,0.8174006812687111,0.2792550938036397,0.2,1.0534210880104486,82.4158,49.73269028994237,86.81854170525153,16606.86007115575,31.158211313666595,65.6993040432408,49.73269028994237,72.46396428364147,1.619941253603106,0.8174006812687111,0.2,2,82.4158,49.73269028994237,164.8316,16606.86007115575,31.158211313666595,65.6993040432408,49.73269028994237,72.46396428364147,1.619941253603106,0.8174006812687111
0.17,50,1,16934.49196628952,88.01943951407402,31.09720413669353,65.98686302501594,49.73017546213989,72.97560501395785,1.6336806909450958,0.8327885635115233,0.2959592044115597,0.2,1.0597512243331846,83.0567,49.73017546213989,88.01943951407402,16765.147046626622,31.09720413669353,65.98686302501594,49.73017546213989,72.97560501395785,1.6336806909450958,0.8327885635115233,0.2,2,83.0567,49.73017546213989,166.1134,16765.147046626622,31.09720413669353,65.98686302501594,49.73017546213989,72.97560501395785,1.6336806909450958,0.8327885635115233
0.18,50,1,17098.98304445244,89.22325305450813,31.031873494949526,66.27620478577805,49.72758682939826,73.48842383891989,1.647748175246928,0.8481077422782802,0.31259146318840314,0.2,1.066201417182498,83.6833,49.72758682939826,89.22325305450815,16927.993214007918,31.031873494949526,66.27620478577805,49.72758682939826,73.48842383891989,1.647748175246928,0.8481077422782802,0.2,2,83.6833,49.72758682939826,167.3666,16927.993214007918,31.031873494949526,66.27620478577805,49.72758682939826,73.48842383891989,1.647748175246928,0.8481077422782802
0.19,50,1,17267.219595455736,90.42960525907458,30.962648972176016,66.56673604156865,49.72493806578881,74.00182141167804,1.6620957681231,0.8633407915687732,0.32914988709194104,0.2,1.0727665261582096,84.2957,49.72493806578881,90.42960525907458,17094.547399501178,30.962648972176016,66.56673604156865,49.72493806578881,74.00182141167804,1.6620957681231,0.8633407915687732,0.2,2,84.2957,49.72493806578881,168.5914,17094.547399501178,30.962648972176016,66.56673604156865,49.72493806578881,74.00182141167804,1.6620957681231,0.8633407915687732
0.2,50,1,17438.474698863196,91.63822310693398,30.88994167338108,66.8579827657041,49.72224074712318,74.51532931805866,1.676680903439508,0.878474665631763,0.34563684365605746,0.2,1.0794390566496688,84.8943,49.72224074712318,91.63822310693398,17264.089951874565,30.88994167338108,66.8579827657041,49.72224074712318,74.51532931805866,1.676680903439508,0.878474665631763,0.2,2,84.8943,49.72224074712318,169.7886,17264.089951874565,30.88994167338108,66.8579827657041,49.72224074712318,74.51532931805866,1.676680903439508,0.878474665631763
0.21,50,1,17612.13423326376,92.84891346191357,30.814138624392225,67.14956531076778,49.71950466392993,75.02858146967478,1.691465868113927,0.8934997112034184,0.36205716245647673,0.2,1.0862126411819626,85.4795,49.71950466392993,92.84891346191357,17436.012890931124,30.814138624392225,67.14956531076778,49.71950466392993,75.02858146967478,1.691465868113927,0.8934997112034184,0.2,2,85.4795,49.71950466392993,170.959,17436.012890931124,30.814138624392225,67.14956531076778,49.71950466392993,75.02858146967478,1.691465868113927,0.8934997112034184
0.22,50,1,17787.679337895373,94.06154469555015,30.73559980036752,67.44117909746507,49.716738096449674,75.54129218053559,1.706417309380256,0.9084089124291672,0.3784101132886959,0.2,1.093084312249643,86.0515,49.71673809644968,94.06154469555015,17609.802544516424,30.73559980036752,67.44117909746507,49.71673809644968,75.54129218053554,1.706417309380256,0.9084089124291654,0.2,2,86.0515,49.71673809644968,172.103,17609.802544516424,30.73559980036752,67.44117909746507,49.71673809644968,75.54129218053554,1.706417309380256,0.9084089124291654
