sersic_n,sersic_r_eff,sersic_amplitude,sersic_total_flux_99,sersic_r_99,sersic_r_20,sersic_r_80,sersic_r_50,sersic_r_90,sersic_c2080,sersic_c5090,sersic_petro_0502,corr_eta,corr_epsilon,corr_r_petrosian,corr_r_half_light,corr_r_total_flux,corr_total_flux,corr_r_20,corr_r_80,corr_r_50,corr_r_90,corr_c2080,corr_c5090,uncorr_eta,uncorr_epsilon,uncorr_r_petrosian,uncorr_r_half_light,uncorr_r_total_flux,uncorr_total_flux,uncorr_r_20,uncorr_r_80,uncorr_r_50,uncorr_r_90,uncorr_c2080,uncorr_c5090
5.5,50,1,66127.02737747937,1649.219939951729,11.2750030923384,185.6852235558028,48.957873678487715,350.55051664990657,6.083303376003661,4.274640320517435,6.9354840919259,0.2,22.4408090669968,73.492,48.9579,1649.2199399517287,65465.75710370457,11.274999999999999,185.68519999999998,48.9579,350.55049999999994,6.083303696092182,4.274639049918902,0.2,2,73.492,28.794099999999997,146.984,49365.95953124018,7.921299999999999,75.2166,28.794099999999997,103.8651,4.887586183793633,2.7858306749097226
6.0,50,1,68994.31859571308,1951.2727063438003,10.60155286210318,197.01535488111153,48.91321075950646,383.4090379732223,6.345652960530456,4.471180872196172,7.4970210547037865,0.2,28.724545032699606,67.9305,48.913199999999996,1951.2727063438003,68304.37540975596,10.6016,197.0154,48.913199999999996,383.40899999999993,6.345643802783927,4.471181134793152,0.2,2,67.9305,26.467799999999997,135.861,49764.72315679006,7.039299999999999,70.0577,26.467799999999997,96.6415,4.9896320049367,2.812229089172046
6.5,50,1,71747.2694206721,2293.3605664668794,9.992622838169147,208.54306622911176,48.870367102614786,417.8522817978527,6.597581295143877,4.659885883685292,8.054928526361044,0.2,36.62473875586302,62.6178,48.869969675212644,2293.3605664668794,71029.79448306857,9.992798231087798,208.54365430174448,48.869969675212644,417.8525786891979,6.597549304620193,4.659905085642525,0.2,2,62.6178,24.279156662822928,125.2356,50012.40892911191,6.259969558761669,65.00707215040775,24.279156662822928,89.58468912683696,5.081941925033025,2.8350009676163395
7.0,50,1,74398.54147064625,2679.535367225403,9.439105666080753,220.28168636026192,48.829141230426615,453.9457657087755,6.8402377236202785,4.841624415759885,8.609634627624295,0.2,46.531909705936854,57.5849,48.829520576770925,2679.535367225403,73654.55297767371,9.438524932375802,220.2821054866395,48.829520576770925,453.94660773534554,6.840375457518734,4.841611573851577,0.2,2,57.5849,22.22967729134154,115.1698,50131.42224347535,5.569037081454471,60.128993360347074,22.22967729134154,82.781213198049,5.166519117929408,2.8549931441013134
7.5,50,1,76958.62130477789,3114.1732580136745,8.933617515399476,232.24284861658074,48.789366274838834,491.7544970139505,7.074574975788931,5.017115815319807,9.161377957690501,0.2,58.926538135755756,52.8484,48.79009203219744,3114.1732580136745,76189.03255191435,8.93361279226417,232.2428971023003,48.79009203219744,491.7542147251105,7.074576577171903,5.017082267694927,0.2,2,52.8484,20.321178289387962,105.6968,50140.16615041023,4.957666937104009,55.46739822914106,20.321178289387962,76.29070125812821,5.243802241478985,2.8726136036823346
8.0,50,1,79436.30964534981,3601.9965980474694,8.470092147318661,244.43690451191333,48.75090219305561,531.3434855746407,7.301393200892746,5.186963515647477,9.710872418335594,0.2,74.39866730932421,48.4148,48.75015871242901,3601.99659804747,78641.94507279801,8.470320969108597,244.43606842800853,48.75015871242901,531.3431856691741,7.301327111358212,5.186995406520863,0.2,2,48.4148,18.54994496165339,96.8296,50054.0136246581,4.415276435975415,51.045236601728675,18.54994496165339,70.14646995699928,5.314986608348375,2.888315975711099
8.5,50,1,81839.0777285742,4148.096967503266,8.04348790863968,256.8732213837747,48.713630097567766,572.778116748954,7.521372094154125,5.351679615849376,10.258132339802588,0.2,93.67181234242403,44.2833,48.713601352160154,4148.096967503266,81020.68530253739,8.043972650157992,256.87327712343364,48.713601352160154,572.7790826548278,7.521241705312223,5.351684559078174,0.2,2,44.2833,16.91224436316344,88.5666,49885.950871052235,3.9328533130031507,46.879911616064106,16.91224436316344,64.36848276459581,5.381395178826043,2.902360136862919
9.0,50,1,84173.33236148633,4757.959379319024,7.649571864433997,269.56040122600183,48.67744803865213,616.1244304523688,7.735094825646714,5.511703139222897,10.803337146721134,0.2,117.63238402477829,40.4477,48.67632565390437,4757.959379319024,83331.59681074413,7.650214093726426,269.5612068458721,48.67632565390437,616.1238860779015,7.73491901438682,5.511751290128219,0.2,2,40.4477,15.40226792704218,80.8954,49646.98620002654,3.505436954514865,42.97696748595555,15.40226792704218,58.96297210337298,5.442468035562707,2.9149734638200093
9.5,50,1,86444.61672080102,5437.487776409747,7.284757875775928,282.50644461110966,48.64226780926402,661.4493356861908,7.943066189256061,5.66741385058971,11.346211577128408,0.2,147.36537959807433,36.898,48.641134927549544,5437.487776409747,85580.1690312512,7.283659053587061,282.50537353929985,48.641134927549544,661.4505013903711,7.943385522915137,5.667468251805823,0.2,2,36.898,14.011504038996065,73.796,49346.49439561162,3.124447983312185,39.33477666579435,14.011504038996065,53.929063016301626,5.500016949382948,2.926690592163946
10.0,50,1,88657.76495427343,6193.031893076095,6.9459831923611715,295.7188755294931,48.60801248499209,708.8207797832688,8.145726590193359,5.819142885535401,11.888556295050783,0.2,184.19636882734454,33.6219,48.60801470529528,6193.031893076095,87771.18619972403,6.946714134185542,295.7183829039787,48.60801470529528,708.8199999204046,8.145494475801419,5.81914039723635,0.2,2,33.6219,12.7351215261496,67.2438,48992.612312932666,2.7866246111042954,35.951782753446466,12.7351215261496,49.25671553370505,5.553209811695537,2.9373117792198333
